Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 13.73      7.51     7.51                             electric_field (electrostatics.c:163 @ 804c770)
 13.64     14.97     7.46                             pythagoras (coordinates.c:51 @ 804c234)
  8.98     19.88     4.91                             pythagoras (coordinates.c:53 @ 804c251)
  6.10     23.22     3.34                             electric_field (electrostatics.c:135 @ 804c6a0)
  5.92     26.46     3.24                             electric_field (electrostatics.c:139 @ 804c6d9)
  5.80     29.63     3.18                             electric_field (electrostatics.c:139 @ 804c71d)
  4.73     32.22     2.59                             electric_field (electrostatics.c:134 @ 804c79c)
  4.58     34.73     2.51                             electric_field (electrostatics.c:137 @ 804c6ce)
  4.31     37.09     2.36                             pythagoras (coordinates.c:51 @ 804c225)
  3.63     39.07     1.99                             electric_field (electrostatics.c:143 @ 804c72d)
  3.45     40.96     1.89 1300937139     1.45     1.45  pythagoras (coordinates.c:49 @ 804c210)
  1.97     42.04     1.08                             fftw_hc2hc_forward_generic
  1.88     43.07     1.03                             __libc_writev (writev.c:56 @ 80dc250)
  1.76     44.03     0.96                             fftw_no_twiddle_11
  1.65     44.93     0.90                             __profile_frequency (prof-freq.c:50 @ 80af490)
  1.54     45.77     0.84                             fftw
  1.42     46.54     0.78                             fftw_hc2hc_backward_generic
  1.22     47.21     0.67                             fftw_twiddle_generic
  1.00     47.76     0.55                             fftw_no_twiddle_10
  0.99     48.30     0.54                             electric_field (electrostatics.c:135 @ 804c78e)
  0.95     48.82     0.52                             fftw_executor_simple
  0.90     49.31     0.50                             fftw_no_twiddle_5
  0.90     49.81     0.50                             gord (coordinates.c:45 @ 804c200)
  0.60     50.14     0.33                             fftw_twiddle_rader
  0.54     50.43     0.30                             fftw_no_twiddle_2
  0.53     50.72     0.29                             fftwi_twiddle_generic
  0.51     51.00     0.28                             fftw_twiddle_5
  0.51     51.28     0.28                             electric_field (electrostatics.c:157 @ 804c75c)
  0.50     51.56     0.28                             electric_field (electrostatics.c:143 @ 804c718)
  0.49     51.83     0.27                             fftw_twiddle_6
  0.44     52.07     0.24                             fftwi_twiddle_rader
