Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 65.26     19.07    19.07                             electric_field
  3.73     20.16     1.09                             fftw_hc2hc_forward_generic
  2.93     21.02     0.86                             fftw_no_twiddle_11
  2.74     21.82     0.80                             fftw_hc2hc_backward_generic
  2.67     22.60     0.78                             fftw
  2.36     23.29     0.69                             fftw_twiddle_generic
  2.05     23.89     0.60                             __moddi3
  1.83     24.42     0.54                             fftw_no_twiddle_5
  1.69     24.92     0.50                             fftw_executor_simple
  1.68     25.41     0.49                             fftw_no_twiddle_10
  1.23     25.77     0.36                             fftw_twiddle_rader
  1.15     26.10     0.34                             fftw_no_twiddle_2
  0.96     26.38     0.28                             fftwi_twiddle_generic
  0.92     26.65     0.27                             fftw_twiddle_6
  0.89     26.91     0.26                             fftw_twiddle_5
  0.79     27.14     0.23                             executor_many
  0.79     27.37     0.23                             fftw_twiddle_2
  0.75     27.59     0.22                             fftw_measure_runtime
  0.62     27.77     0.18                             fftw_twiddle_3
  0.58     27.94     0.17                             fftwi_twiddle_rader
  0.44     28.07     0.13                             rfftw_executor_simple
  0.44     28.20     0.13                             surface_grid
  0.38     28.31     0.11                             fftw_no_twiddle_6
  0.34     28.41     0.10                             fftw_no_twiddle_3
  0.34     28.51     0.10                             rfftw
  0.33     28.61     0.10                             fftw_no_twiddle_1
  0.29     28.69     0.09                             fftw_strided_copy
  0.29     28.78     0.09                             fftwi_no_twiddle_2
  0.21     28.84     0.06                             discretise_structure
  0.15     28.88     0.05                             fftwi_no_twiddle_1
  0.14     28.92     0.04                             _int_malloc
  0.14     28.96     0.04                             fftw_real2hc_1
  0.14     29.00     0.04                             rfftw_hc2c
  0.14     29.04     0.04                             rfftw_measure_runtime
  0.10     29.07     0.03                             rexecutor_many
  0.07     29.09     0.02                             fftw_make_node_rader
  0.07     29.11     0.02                             rint
  0.05     29.13     0.02                             fftw_no_twiddle_4
  0.03     29.14     0.01                             _int_free
  0.03     29.15     0.01                             fftw_hc2hc_backward_2
  0.03     29.16     0.01                             fftw_hc2hc_forward_2
  0.03     29.17     0.01                             fftw_hc2real_1
  0.03     29.18     0.01                             fftw_malloc
  0.03     29.19     0.01                             fftwi_twiddle_2
  0.03     29.20     0.01                             malloc
  0.03     29.21     0.01                             rfftw_c2real_aux
  0.03     29.22     0.01                             rfftw_strided_copy
  0.02     29.22     0.01                             fftw_no_twiddle_9
  0.00     29.22     0.00  1640979     0.00     0.00  pythagoras
  0.00     29.22     0.00     7173     0.00     0.00  gord
  0.00     29.22     0.00        3     0.00     0.00  duplicate_structure
  0.00     29.22     0.00        2     0.00     0.00  radius_of_structure
  0.00     29.22     0.00        1     0.00     0.00  main
