Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 31.20      9.11     9.11                             electric_field (electrostatics.c:141 @ 804c6ca)
 11.13     12.36     3.25                             electric_field (electrostatics.c:139 @ 804c6c0)
  6.04     14.13     1.77                             electric_field (electrostatics.c:137 @ 804c73d)
  5.72     15.80     1.67                             electric_field (electrostatics.c:136 @ 804c74b)
  3.89     16.93     1.14                             electric_field (electrostatics.c:157 @ 804c731)
  3.66     18.00     1.07                             fftw_hc2hc_forward_generic
  3.25     18.95     0.95                             electric_field (electrostatics.c:149 @ 804c6b3)
  3.13     19.87     0.92                             fftw_no_twiddle_11
  3.07     20.76     0.90                             fftw
  2.76     21.57     0.81                             fftw_hc2hc_backward_generic
  2.33     22.25     0.68                             fftw_twiddle_generic
  2.09     22.86     0.61                             electric_field (electrostatics.c:145 @ 804c707)
  1.95     23.43     0.57                             fftw_executor_simple
  1.73     23.93     0.51                             fftw_no_twiddle_10
  1.58     24.39     0.46                             fftw_twiddle_rader
  1.54     24.84     0.45                             fftw_no_twiddle_5
  1.49     25.28     0.44                             electric_field (electrostatics.c:137 @ 804c6a0)
  1.08     25.59     0.32                             fftw_no_twiddle_2
  1.06     25.90     0.31                             fftw_twiddle_6
  0.99     26.19     0.29                             fftwi_twiddle_generic
  0.84     26.44     0.25                             executor_many
  0.75     26.66     0.22                             fftw_twiddle_5
  0.65     26.85     0.19                             __udivmoddi4 (libgcc2.c:881 @ 8095d21)
  0.51     27.00     0.15                             fftw_measure_runtime
  0.51     27.15     0.15                             fftw_twiddle_2
  0.51     27.30     0.15                             rfftw
  0.48     27.44     0.14                             fftw_twiddle_3
  0.46     27.57     0.14                             fftw_no_twiddle_6
  0.41     27.69     0.12                             fftw_no_twiddle_3
  0.41     27.81     0.12                             fftwi_twiddle_rader
  0.38     27.92     0.11                             rfftw_executor_simple
  0.33     28.02     0.10                             fftw_no_twiddle_1
  0.31     28.11     0.09                             fftwi_no_twiddle_2
  0.29     28.19     0.09                             electric_field (electrostatics.c:136 @ 804c68d)
  0.24     28.26     0.07                             __moddi3 (libgcc2.c:1100 @ 8095cc0)
  0.22     28.33     0.07                             fftwi_no_twiddle_1
  0.21     28.39     0.06                             fftw_strided_copy
  0.17     28.44     0.05                             __udivmoddi4 (libgcc2.c:997 @ 8095d34)
  0.17     28.49     0.05                             surface_grid (grid.c:152 @ 804d486)
  0.17     28.54     0.05                             rexecutor_many
  0.15     28.58     0.05                             __moddi3 (libgcc2.c:1117 @ 8095d49)
  0.14     28.62     0.04                             __rint (s_rint.S:13 @ 8095cb6)
  0.10     28.65     0.03                             _int_malloc (malloc.c:4287 @ 80a5481)
