Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  9.83      1.06     1.06                             fftw_no_twiddle_11
  9.65      2.10     1.04                             fftw_hc2hc_forward_generic
  8.49      3.02     0.92                             fftw
  7.28      3.80     0.79                             fftw_hc2hc_backward_generic
  6.86      4.54     0.74                             fftw_twiddle_generic
  5.66      5.15     0.61                             electric_field
  5.33      5.73     0.58                             fftw_no_twiddle_5
  4.64      6.23     0.50                             __moddi3
  4.55      6.72     0.49                             fftw_no_twiddle_10
  3.99      7.15     0.43                             fftw_executor_simple
  3.06      7.48     0.33                             fftw_no_twiddle_2
  2.69      7.77     0.29                             fftwi_twiddle_generic
  2.69      8.06     0.29                             executor_many
  2.60      8.34     0.28                             fftw_twiddle_6
  2.60      8.62     0.28                             fftw_twiddle_rader
  1.95      8.83     0.21                             fftw_twiddle_5
  1.86      9.03     0.20                             fftw_twiddle_2
  1.67      9.21     0.18                             fftw_measure_runtime
  1.30      9.35     0.14                             fftwi_twiddle_rader
  1.30      9.49     0.14                             rfftw
  1.21      9.62     0.13                             surface_grid
  1.11      9.74     0.12                             fftw_twiddle_3
  1.07      9.85     0.12                             fftwi_no_twiddle_2
  0.88      9.95     0.10                             fftw_no_twiddle_6
  0.74     10.03     0.08                             _int_malloc
  0.74     10.11     0.08                             rexecutor_many
  0.70     10.18     0.08                             fftw_no_twiddle_3
  0.70     10.26     0.08                             rfftw_executor_simple
  0.60     10.32     0.07                             fftw_no_twiddle_1
  0.60     10.39     0.07                             fftw_strided_copy
  0.51     10.44     0.06                             fftwi_no_twiddle_1
  0.46     10.49     0.05                             rfftw_measure_runtime
  0.32     10.53     0.04                             fftw_hc2real_1
  0.28     10.56     0.03                             discretise_structure
  0.23     10.58     0.03                             fftw_real2hc_1
  0.19     10.60     0.02                             fftw_hc2hc_forward_2
  0.19     10.62     0.02                             fftw_no_twiddle_9
  0.19     10.64     0.02                             putchar
  0.09     10.65     0.01  1640979     6.09     6.09  pythagoras
  0.09     10.66     0.01                             __write_nocancel
  0.09     10.67     0.01                             _int_free
  0.09     10.68     0.01                             electric_field_zero_core
  0.09     10.69     0.01                             electric_point_charge
  0.09     10.70     0.01                             fftw_no_twiddle_64
  0.09     10.71     0.01                             fftw_twiddle_64
  0.09     10.72     0.01                             gettimeofday
  0.09     10.73     0.01                             malloc
  0.09     10.74     0.01                             malloc_get_state
  0.09     10.75     0.01                             rfftw_hc2c
  0.09     10.76     0.01                             rint
  0.05     10.77     0.01                             fftw_die
  0.05     10.77     0.01                             fftw_hc2hc_forward_32
  0.05     10.78     0.01                             fftw_malloc
  0.05     10.78     0.01                             rfftw_strided_copy
  0.00     10.78     0.00     7173     0.00     0.00  gord
  0.00     10.78     0.00        3     0.00     0.00  duplicate_structure
  0.00     10.78     0.00        2     0.00     0.00  radius_of_structure
  0.00     10.78     0.00        1     0.00     0.00  main
